operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.6037137392,-58.3815808896",153000,USD,2319847.2,153000,54,51,2833.33333333333,3000,,2,1200,http://barrio-norte.properati.com.ar/swyq_venta_departamentos_barrio-norte
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,76000,USD,1152342.4,76000,,49,,1551.02040816327,,2,,http://ramos-mejia.properati.com.ar/10yy7_venta_departamentos_ramos-mejia_busolin-bruno-propiedades
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5856433,-58.4191795",750000,USD,11371800,750000,230,206,3260.86956521739,3640.77669902913,,5,15000,http://palermo.properati.com.ar/11pqj_venta_departamentos_palermo_balcon_baulera_suite_gimnasio_hidromasaje_lavadero_parrilla_piscina_sum_toilette_vestidor_luminoso_sauna_lujoso_dependencias_electrogeno_garage_placard_aire-acondicionado_losa-radiante_deptos-temporarios
sell,apartment,|Argentina|Capital Federal|Puerto Madero|,"-34.6161514,-58.3619302",500000,USD,7581200,500000,78,68,6410.25641025641,7352.94117647059,,2,,http://puerto-madero.properati.com.ar/vs3l_venta_departamentos_puerto-madero
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|,"-34.4029231,-58.6821079",130000,USD,1971112,130000,46,41,2826.08695652174,3170.73170731707,1,,,http://bs-as-g-b-a-zona-norte.properati.com.ar/116yy_venta_departamentos_bs-as-g-b-a-zona-norte_del-valle-aristobulo_2300_balcon_gimnasio_lavadero_parrilla_piscina_quincho_sum_garage_amenities_hyland-harold-martinez
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5630562,-58.4474918",1080000,USD,16375392,1080000,159,149,6792.45283018868,7248.32214765101,,4,15000,http://belgrano.properati.com.ar/12kdp_venta_departamentos_belgrano_suite_gimnasio_parrilla_piscina_quincho_sum_toilette_dependencias_garage_tenis_subte-linea-d_tesler-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4857841,-58.5108205",175000,USD,2653420,175000,62,60,2822.58064516129,2916.66666666667,2,,,http://martinez.properati.com.ar/zhp5_venta_departamentos_martinez_san-lorenzo_1100_suite_jardin_parrilla_piscina_terraza_toilette_vestidor_garage_ros-artayeta-propiedades-san-isidro-alejandro-ros-artayeta-csi-4974
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5879293,-58.5800764",75000,USD,1137180,75000,100,90,750,833.333333333333,,3,,http://tres-de-febrero.properati.com.ar/7fi5_venta_ph_tres-de-febrero
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,350000,USD,5306840,350000,220,220,1590.90909090909,1590.90909090909,,6,,http://ramos-mejia.properati.com.ar/xuaq_venta_casa_ramos-mejia_garage
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|El Palomar|,"-34.6117871,-58.5947915",129000,USD,1955949.6,129000,,,,,,3,,http://el-palomar.properati.com.ar/g91g_venta_casa_el-palomar
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.607026,-58.442438",140000,USD,2122736,140000,49,44,2857.14285714286,3181.81818181818,,2,,http://caballito.properati.com.ar/10b20_venta_departamentos_caballito_lavadero_parrilla_piscina_sum_lujoso_garage_migliorisi-propiedades_cy3
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,"-34.65714264,-58.6241684",170000,USD,2577608,170000,,,,,,,,http://moron.properati.com.ar/11t6f_venta_casa_moron_lavadero_patio_garage_isabel-minim_5f8
sell,store,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,,,,,,280,,,,,,http://ramos-mejia.properati.com.ar/sbp3_venta_local_la-matanza
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Isidro Casanova|,"-34.701683,-58.590775",580000,USD,8794192,580000,,20,,29000,,11,,http://isidro-casanova.properati.com.ar/12sn3_venta_casa_isidro-casanova_luminoso_garage_estrenar_re-max-alianza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.5520329365,-58.5509135976",190000,USD,2880856,190000,120,120,1583.33333333333,1583.33333333333,,,,http://san-martin.properati.com.ar/u7r1_venta_departamentos_san-martin
